Time Stamp,Round2-NonSol-L778_x,Round2-NonSol-L778_y,Round2-NonSol-L778_z
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234013,-1.934,-10.3672,0.226
20240313_234013,-1.934,-10.3672,0.226
20240313_234013,-1.934,-10.3672,0.226
20240313_234013,-1.934,-10.3672,0.226
