Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-1.670709,-9.500208,-0.5957099,-1.55109,-10.10227,-0.8889574,-0.3719382,-10.97,-0.8143406,-0.404,-10.53511,0.656,-1.424,-10.09276,-0.634,0.1059999,-10.23406,0.656,
-1.667584,-9.504928,-0.5901875,-1.540337,-10.09011,-0.8712884,-0.3719382,-10.97,-0.8143406,-0.404,-10.53329,0.656,-1.424,-10.09312,-0.634,0.1059999,-10.23271,0.656,
-1.665255,-9.50739,-0.5869372,-1.522813,-10.08445,-0.8524498,-0.3719382,-10.97,-0.8143406,-0.404,-10.53148,0.656,-1.424,-10.09298,-0.634,0.1059999,-10.2316,0.656,
-1.661179,-9.509029,-0.5829111,-1.492239,-10.0788,-0.8239077,-0.3719382,-10.97,-0.8143406,-0.404,-10.53028,0.656,-1.424,-10.0924,-0.634,0.1059999,-10.23108,0.656,
-1.658089,-9.510507,-0.5802025,-1.460812,-10.0728,-0.7915454,-0.3719382,-10.97,-0.8143406,-0.404,-10.52947,0.656,-1.424,-10.09141,-0.634,0.1059999,-10.231,0.656,
-1.65526,-9.512132,-0.5792911,-1.431459,-10.06862,-0.7696143,-0.3719382,-10.97,-0.8143406,-0.404,-10.52905,0.656,-1.424,-10.08981,-0.634,0.1059999,-10.23146,0.656,
-1.651238,-9.513456,-0.5790033,-1.399136,-10.06137,-0.7484038,-0.3719382,-10.97,-0.8143406,-0.404,-10.52917,0.656,-1.424,-10.08811,-0.634,0.1059999,-10.2323,0.656,
-1.646264,-9.515343,-0.5789974,-1.373964,-10.05861,-0.7262387,-0.3719382,-10.97,-0.8143406,-0.404,-10.52985,0.656,-1.424,-10.08586,-0.634,0.1059999,-10.23376,0.656,
-1.640048,-9.516023,-0.5812148,-1.34841,-10.06061,-0.7060565,-0.3719382,-10.97,-0.8143406,-0.404,-10.53128,0.656,-1.424,-10.08311,-0.634,0.1059999,-10.23595,0.656,
-1.634753,-9.516562,-0.5825393,-1.331565,-10.06623,-0.6954111,-0.3719382,-10.97,-0.8143406,-0.404,-10.53421,0.656,-1.424,-10.07936,-0.634,0.1059999,-10.23956,0.656,
-1.630637,-9.517016,-0.5839714,-1.320043,-10.06637,-0.695403,-0.3719382,-10.97,-0.8143406,-0.404,-10.53681,0.656,0.1059999,-10.24234,0.656,
-1.628388,-9.516232,-0.5843947,-1.306985,-10.05643,-0.689352,-0.3719382,-10.97,-0.8143406,-0.404,-10.53924,0.656,0.1059999,-10.2447,0.656,
-1.630923,-9.512313,-0.5819714,-1.28647,-10.01198,-0.6808496,-0.3719382,-10.97,-0.8143406,-0.404,-10.54297,0.656,0.1059999,-10.2479,0.656,
-1.636228,-9.507466,-0.5792952,-1.265864,-9.956747,-0.6767448,-0.3719382,-10.97,-0.8143406,-0.404,-10.54588,0.656,0.1059999,-10.24995,0.656,
-1.645051,-9.50227,-0.5761881,-1.250171,-9.904329,-0.6737207,-0.3719382,-10.97,-0.8143406,-0.404,-10.54744,0.656,0.1059999,-10.25076,0.656,
-1.651919,-9.498816,-0.5745111,-1.239778,-9.857083,-0.672057,-0.3719382,-10.97,-0.8143406,-0.404,-10.5485,0.656,0.1059999,-10.25098,0.656,
-1.657666,-9.495249,-0.5732632,-1.230254,-9.801662,-0.6664494,-0.3719382,-10.97,-0.8143406,-0.404,-10.54901,0.656,0.1059999,-10.2506,0.656,
-1.666168,-9.486987,-0.5698253,-1.226044,-9.734589,-0.6562611,-0.3719382,-10.97,-0.8143406,-0.404,-10.54891,0.656,0.1059999,-10.24966,0.656,
-1.67324,-9.479447,-0.5656828,-1.232623,-9.672588,-0.6385744,-0.3719382,-10.97,-0.8143406,-0.404,-10.54824,0.656,0.1059999,-10.2482,0.656,
-1.68499,-9.472078,-0.5618242,-1.249133,-9.616323,-0.6086991,-0.3719382,-10.97,-0.8143406,-0.404,-10.5468,0.656,0.1059999,-10.24601,0.656,
-1.694743,-9.467611,-0.5646257,-1.272207,-9.581517,-0.5599591,-0.3719382,-10.97,-0.8143406,-0.404,-10.54417,0.656,0.1059999,-10.24275,0.656,
-1.705199,-9.464195,-0.5759577,-1.297301,-9.566326,-0.4998558,-0.3719382,-10.97,-0.8143406,-0.404,-10.54127,0.656,0.1059999,-10.23962,0.656,
-1.716791,-9.460423,-0.584686,-1.3251,-9.559704,-0.4422783,-0.3719382,-10.97,-0.8143406,-0.404,-10.5378,0.656,0.1059999,-10.23632,0.656,
-1.726073,-9.459818,-0.5914456,-1.358497,-9.556016,-0.391013,-0.3719382,-10.97,-0.8143406,-0.404,-10.53448,0.656,0.1059999,-10.23357,0.656,
-1.73098,-9.458803,-0.5953293,-1.396559,-9.554068,-0.3482808,-0.3719382,-10.97,-0.8143406,-0.404,-10.53246,0.656,0.1059999,-10.23217,0.656,
-1.740266,-9.458032,-0.5952706,-1.440999,-9.549848,-0.3080748,-0.3719382,-10.97,-0.8143406,-0.404,-10.53028,0.656,0.1059999,-10.23108,0.656,
-1.746066,-9.460057,-0.5913837,-1.469759,-9.547933,-0.279291,-0.3719382,-10.97,-0.8143406,-0.404,-10.52938,0.656,0.1059999,-10.23103,0.656,
-1.747841,-9.46184,-0.585362,-1.489695,-9.55056,-0.2575163,-0.3719382,-10.97,-0.8143406,-0.404,-10.52906,0.656,0.1059999,-10.23183,0.656,
-1.748219,-9.461801,-0.5789125,-1.501656,-9.561571,-0.2406456,-0.3719382,-10.97,-0.8143406,-0.404,-10.52959,0.656,0.1059999,-10.2333,0.656,
-1.744633,-9.46554,-0.5745562,-1.503847,-9.579567,-0.2333332,-0.3719382,-10.97,-0.8143406,-0.404,-10.53086,0.656,0.1059999,-10.23536,0.656,
-1.74233,-9.466797,-0.5693171,-1.496702,-9.585469,-0.2404851,-0.3719382,-10.97,-0.8143406,-0.404,-10.53304,0.656,0.1059999,-10.23819,0.656,
-1.740872,-9.465953,-0.566184,-1.485055,-9.581531,-0.2497753,-0.3719382,-10.97,-0.8143406,-0.404,-10.53581,0.656,0.1059999,-10.2413,0.656,
-1.741054,-9.466369,-0.5651419,-1.481556,-9.575382,-0.2534339,-0.3719382,-10.97,-0.8143406,-0.404,-10.53924,0.656,0.1059999,-10.2447,0.656,
-1.746529,-9.467818,-0.5652643,-1.482433,-9.569808,-0.2520806,-0.3719382,-10.97,-0.8143406,-0.404,-10.54232,0.656,0.1059999,-10.24738,0.656,
-1.749419,-9.468381,-0.5651126,-1.486266,-9.567155,-0.2500995,-0.3719382,-10.97,-0.8143406,-0.404,-10.5448,0.656,0.1059999,-10.24925,0.656,
-1.750697,-9.469803,-0.5661362,-1.489756,-9.56691,-0.2483476,-0.3719382,-10.97,-0.8143406,-0.404,-10.54683,0.656,0.1059999,-10.25048,0.656,
-1.741148,-9.470163,-0.5643142,-1.493616,-9.566766,-0.2469887,-0.3719382,-10.97,-0.8143406,-0.404,-10.54838,0.656,0.1059999,-10.25098,0.656,
-1.739804,-9.469488,-0.5636413,-1.494936,-9.567424,-0.2467185,-0.3719382,-10.97,-0.8143406,-0.404,-10.54892,0.656,0.1059999,-10.25077,0.656,
-1.737942,-9.468997,-0.5643208,-1.494944,-9.569145,-0.2461101,-0.3719382,-10.97,-0.8143406,-0.404,-10.54891,0.656,0.1059999,-10.24966,0.656,
-1.73614,-9.468923,-0.5643768,-1.49412,-9.570011,-0.2448041,-0.3719382,-10.97,-0.8143406,-0.404,-10.54794,0.656,0.1059999,-10.2477,0.656,
-1.734933,-9.468952,-0.5639,-1.491905,-9.570066,-0.2429706,-0.3719382,-10.97,-0.8143406,-0.404,-10.54657,0.656,0.1059999,-10.24571,0.656,
-1.734466,-9.46853,-0.5635482,-1.489647,-9.568639,-0.2424648,-0.3719382,-10.97,-0.8143406,-0.404,-10.54387,0.656,0.1059999,-10.24241,0.656,
-1.734972,-9.467937,-0.5639505,-1.488151,-9.566692,-0.2432262,-0.3719382,-10.97,-0.8143406,-0.404,-10.54058,0.656,0.1059999,-10.23894,0.656,
-1.736045,-9.467843,-0.56475,-1.487054,-9.565304,-0.2440773,-0.3719382,-10.97,-0.8143406,-0.404,-10.53746,0.656,0.1059999,-10.23601,0.656,
-1.739643,-9.467764,-0.5661464,-1.487553,-9.564519,-0.2447608,-0.3719382,-10.97,-0.8143406,-0.404,-10.5348,0.656,0.1059999,-10.23381,0.656,
-1.740455,-9.467487,-0.5672842,-1.488197,-9.563896,-0.245037,-0.3719382,-10.97,-0.8143406,-0.404,-10.53273,0.656,0.1059999,-10.23234,0.656,
-1.741639,-9.46734,-0.5678896,-1.489096,-9.565385,-0.2445457,-0.3719382,-10.97,-0.8143406,-0.404,-10.53084,0.656,0.1059999,-10.23129,0.656,
-1.742808,-9.467147,-0.5685052,-1.489811,-9.565613,-0.2443804,-0.3719382,-10.97,-0.8143406,-0.404,-10.5297,0.656,0.1059999,-10.23098,0.656,
-1.743578,-9.46681,-0.5684688,-1.491297,-9.565612,-0.2442756,-0.3719382,-10.97,-0.8143406,-0.404,-10.52916,0.656,0.1059999,-10.23119,0.656,
-1.743692,-9.466851,-0.5692759,-1.493032,-9.56595,-0.2439784,-0.3719382,-10.97,-0.8143406,-0.404,-10.52917,0.656,0.1059999,-10.2323,0.656,
-1.743866,-9.466714,-0.569093,-1.494221,-9.5663,-0.2435793,-0.3719382,-10.97,-0.8143406,-0.404,-10.52985,0.656,0.1059999,-10.23376,0.656,
-1.744036,-9.466904,-0.5689063,-1.494299,-9.566963,-0.2434736,-0.3719382,-10.97,-0.8143406,-0.404,-10.53151,0.656,0.1059999,-10.23626,0.656,
-1.74418,-9.466549,-0.5687691,-1.494594,-9.567323,-0.2432765,-0.3719382,-10.97,-0.8143406,-0.404,-10.53304,0.656,0.1059999,-10.23819,0.656,
-1.743885,-9.46692,-0.5680013,-1.493671,-9.568754,-0.2425566,-0.3719382,-10.97,-0.8143406,-0.404,-10.53581,0.656,0.1059999,-10.2413,0.656,
-1.743432,-9.466887,-0.5676141,-1.490094,-9.568807,-0.2402549,-0.3719382,-10.97,-0.8143406,-0.404,-10.53889,0.656,0.1059999,-10.24437,0.656,
-1.743205,-9.466824,-0.5668199,-1.487376,-9.568972,-0.2366484,-0.3719382,-10.97,-0.8143406,-0.404,-10.54199,0.656,0.1059999,-10.24711,0.656,
-1.743194,-9.467468,-0.5664048,-1.482263,-9.572533,-0.2295564,-0.3719382,-10.97,-0.8143406,-0.404,-10.5448,0.656,0.1059999,-10.24925,0.656,
-1.743085,-9.469273,-0.5645463,-1.477655,-9.572352,-0.2271665,-0.3719382,-10.97,-0.8143406,-0.404,-10.54744,0.656,0.1059999,-10.25076,0.656,
-1.742809,-9.471878,-0.5626273,-1.472313,-9.569011,-0.2277656,-0.3719382,-10.97,-0.8143406,-0.404,-10.54861,0.656,0.1059999,-10.25096,0.656,
-1.742258,-9.474824,-0.560622,-1.469718,-9.56528,-0.2290267,-0.3719382,-10.97,-0.8143406,-0.404,-10.54904,0.656,0.1059999,-10.25027,0.656,
-1.741873,-9.47804,-0.5584967,-1.467025,-9.560766,-0.2333432,-0.3719382,-10.97,-0.8143406,-0.404,-10.5486,0.656,0.1059999,-10.24888,0.656,
-1.739942,-9.485512,-0.5558889,-1.467687,-9.557891,-0.2389561,-0.3719382,-10.97,-0.8143406,-0.404,-10.54742,0.656,0.1059999,-10.24689,0.656,-0.404,-9.878991,-0.204,
-1.737388,-9.4938,-0.5533719,-1.468536,-9.556943,-0.2445056,-0.3719382,-10.97,-0.8143406,-0.404,-10.54585,0.656,0.1059999,-10.24476,0.656,-0.404,-9.878654,-0.204,
-1.73118,-9.512479,-0.5449054,-1.46944,-9.557835,-0.2605364,-0.3719382,-10.97,-0.8143406,-0.404,-10.54325,0.656,0.1059999,-10.24171,0.656,-0.404,-9.881759,-0.204,
-1.724913,-9.526474,-0.5376856,-1.471196,-9.562215,-0.272346,-0.3719382,-10.97,-0.8143406,-0.404,-10.54024,0.656,0.1059999,-10.2386,0.656,-0.404,-9.884593,-0.204,
-1.718132,-9.537493,-0.5308563,-1.472693,-9.573217,-0.2834419,-0.3719382,-10.97,-0.8143406,-0.404,-10.53711,0.656,0.1059999,-10.23571,0.656,-0.404,-9.886878,-0.204,
-1.709009,-9.545778,-0.5262805,-1.468871,-9.593461,-0.290733,-0.3719382,-10.97,-0.8143406,-0.404,-10.5348,0.656,0.1059999,-10.23381,0.656,-0.404,-9.888131,-0.204,
-1.699672,-9.548089,-0.5243621,-1.46186,-9.612349,-0.2949861,-0.3719382,-10.97,-0.8143406,-0.404,-10.53273,0.656,0.1059999,-10.23234,0.656,-0.404,-9.888842,-0.204,
-1.693699,-9.547788,-0.5239147,-1.452645,-9.628059,-0.2986842,-0.3719382,-10.97,-0.8143406,-0.404,-10.53104,0.656,0.1059999,-10.23138,0.656,-0.404,-9.888966,-0.204,
-1.687458,-9.544726,-0.5243268,-1.445422,-9.638594,-0.3028296,-0.3719382,-10.97,-0.8143406,-0.404,-10.52983,0.656,0.1059999,-10.23099,0.656,-0.404,-9.888498,-0.204,
-1.682507,-9.538455,-0.5250506,-1.440225,-9.653252,-0.3079616,-0.3719382,-10.97,-0.8143406,-0.404,-10.52916,0.656,0.1059999,-10.23119,0.656,-0.404,-9.887465,-0.204,
-1.677916,-9.531753,-0.5275476,-1.439212,-9.681649,-0.3125725,-0.3719382,-10.97,-0.8143406,-0.404,-10.52906,0.656,0.1059999,-10.23183,0.656,-0.404,-9.886176,-0.204,
-1.671825,-9.523875,-0.5358255,-1.436845,-9.745747,-0.3232994,-0.3719382,-10.97,-0.8143406,-0.404,-10.52948,0.656,0.1059999,-10.23308,0.656,-0.404,-9.88428,-0.204,
-1.667973,-9.518212,-0.5433388,-1.434519,-9.808375,-0.3443323,-0.3719382,-10.97,-0.8143406,-0.404,-10.53048,0.656,0.1059999,-10.2348,0.656,-0.404,-9.882071,-0.204,
-1.660737,-9.511597,-0.5540166,-1.43203,-9.875708,-0.3764223,-0.3719382,-10.97,-0.8143406,-0.404,-10.53199,0.656,0.1059999,-10.23688,0.656,-0.404,-9.879677,-0.204,
-1.661497,-9.504189,-0.5687358,-1.434185,-9.961816,-0.4375509,-0.3719382,-10.97,-0.8143406,-0.404,-10.53391,0.656,0.1059999,-10.23921,0.656,-0.404,-9.877243,-0.204,
-1.65405,-9.495135,-0.5799463,-1.440112,-10.02703,-0.5077603,-0.3719382,-10.97,-0.8143406,-0.404,-10.53681,0.656,0.1059999,-10.24234,0.656,-0.404,-9.874287,-0.204,
-1.654963,-9.48707,-0.590337,-1.428878,-10.08558,-0.5901892,-0.3719382,-10.97,-0.8143406,-0.404,-10.53993,0.656,0.1059999,-10.24533,0.656,-0.404,-9.87179,-0.204,
-1.658134,-9.486199,-0.5900059,-1.446593,-10.13134,-0.6668798,-0.3719382,-10.97,-0.8143406,-0.404,-10.54329,0.656,0.1059999,-10.24815,0.656,-0.404,-9.869851,-0.204,
-1.662128,-9.486238,-0.5867319,-1.484083,-10.17358,-0.7395986,-0.3719382,-10.97,-0.8143406,-0.404,-10.54562,0.656,0.1059999,-10.24979,0.656,-0.404,-9.869087,-0.204,
-1.664745,-9.484006,-0.5822273,-1.516269,-10.19457,-0.7858962,-0.3719382,-10.97,-0.8143406,-0.404,-10.54725,0.656,0.1059999,-10.25068,0.656,-0.404,-9.869047,-0.204,
-1.667158,-9.482393,-0.5788049,-1.547546,-10.20636,-0.8171964,-0.3719382,-10.97,-0.8143406,-0.404,-10.54838,0.656,0.1059999,-10.25098,0.656,-0.404,-9.869598,-0.204,
-1.672408,-9.480392,-0.575068,-1.580649,-10.21538,-0.8332866,-0.3719382,-10.97,-0.8143406,-0.404,-10.54886,0.656,0.1059999,-10.25084,0.656,-0.404,-9.870337,-0.204,
-1.676797,-9.480827,-0.5747662,-1.595893,-10.22032,-0.8216732,-0.3719382,-10.97,-0.8143406,-0.404,-10.54904,0.656,0.1059999,-10.25027,0.656,-0.404,-9.871568,-0.204,
-1.681691,-9.48173,-0.57461,-1.578686,-10.21802,-0.7961286,-0.3719382,-10.97,-0.8143406,-0.404,-10.5487,0.656,0.1059999,-10.24909,0.656,-0.404,-9.873408,-0.204,
-1.683892,-9.481721,-0.5744205,-1.534144,-10.20723,-0.7577456,-0.3719382,-10.97,-0.8143406,-0.404,-10.5481,0.656,0.1059999,-10.24795,0.656,-0.404,-9.874934,-0.204,
-1.689341,-9.481576,-0.573882,-1.469582,-10.17628,-0.7049164,-0.3719382,-10.97,-0.8143406,-0.404,-10.54722,0.656,0.1059999,-10.2466,0.656,-0.404,-9.876583,-0.204,
-1.695745,-9.480602,-0.5730186,-1.389831,-10.10221,-0.6260891,-0.3719382,-10.97,-0.8143406,-0.404,-10.54559,0.656,0.1059999,-10.24443,0.656,-0.404,-9.879003,-0.204,
-1.699916,-9.479171,-0.5705352,-1.324287,-9.98231,-0.5484951,-0.3719382,-10.97,-0.8143406,-0.404,-10.54417,0.656,0.1059999,-10.24275,0.656,-0.404,-9.880739,-0.204,
-1.704107,-9.476989,-0.5685337,-1.296325,-9.864592,-0.5027221,-0.3719382,-10.97,-0.8143406,-0.404,-10.54228,0.656,0.1059999,-10.24067,0.656,-0.404,-9.882748,-0.204,
-1.708538,-9.475496,-0.5659451,-1.292805,-9.765027,-0.4734969,-0.3719382,-10.97,-0.8143406,-0.404,-10.53989,0.656,0.1059999,-10.23826,0.656,-0.404,-9.884878,-0.204,
-1.716947,-9.474499,-0.5610224,-1.310425,-9.672405,-0.449101,-0.3719382,-10.97,-0.8143406,-0.404,-10.5378,0.656,0.1059999,-10.23632,0.656,-0.404,-9.886431,-0.204,
-1.72328,-9.474218,-0.5562216,-1.316446,-9.636415,-0.4375126,-0.3719382,-10.97,-0.8143406,-0.404,-10.53544,0.656,0.1059999,-10.23431,0.656,-0.404,-9.887826,-0.204,
-1.72961,-9.473936,-0.5518053,-1.31641,-9.618137,-0.4262471,-0.3719382,-10.97,-0.8143406,-0.404,-10.53387,0.656,0.1059999,-10.23312,0.656,-0.404,-9.888505,-0.204,
-1.73683,-9.472903,-0.5466073,-1.316739,-9.618658,-0.4190122,-0.3719382,-10.97,-0.8143406,-0.404,-10.53148,0.656,0.1059999,-10.2316,0.656,-0.404,-9.888991,-0.204,
-1.744126,-9.472124,-0.5398724,-1.319229,-9.640258,-0.4106988,-0.3719382,-10.97,-0.8143406,-0.404,-10.53046,0.656,0.1059999,-10.23114,0.656,-0.404,-9.888837,-0.204,
-1.75161,-9.471991,-0.532325,-1.319701,-9.690299,-0.3988105,-0.3719382,-10.97,-0.8143406,-0.404,-10.52958,0.656,0.1059999,-10.23099,0.656,-0.404,-9.888259,-0.204,
-1.760387,-9.471985,-0.5256473,-1.326557,-9.755946,-0.3928066,-0.3719382,-10.97,-0.8143406,-0.404,-10.52908,0.656,0.1059999,-10.23136,0.656,-0.404,-9.887074,-0.204,
-1.770748,-9.472051,-0.5173856,-1.344376,-9.832099,-0.3952023,-0.3719382,-10.97,-0.8143406,-0.404,-10.52912,0.656,0.1059999,-10.23214,0.656,-0.404,-9.885674,-0.204,
