Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-3.252331,-9.547708,-0.01681127,-2.849146,-9.924644,-0.0005387068,-1.217411,-11.01,0.007724524,-2.444,-10.55636,-0.634,-1.424,-9.899278,1.086,-2.444,-10.28489,1.086,
-3.252105,-9.547782,-0.0144818,-2.842503,-9.915254,-0.0001713037,-1.217411,-11.01,0.007724524,-2.444,-10.55595,-0.634,-1.424,-9.898528,1.086,-2.444,-10.28415,1.086,
-3.252299,-9.547759,-0.01274778,-2.833535,-9.904927,0.002043605,-1.217411,-11.01,0.007724524,-2.444,-10.55574,-0.634,-1.424,-9.897987,1.086,-2.444,-10.28369,1.086,
-3.253247,-9.54803,-0.01142623,-2.822465,-9.892595,0.002883554,-1.217411,-11.01,0.007724524,-2.444,-10.55544,-0.634,-1.424,-9.89682,1.086,-2.444,-10.2829,1.086,
-3.254505,-9.548529,-0.01022793,-2.81279,-9.879987,0.003808856,-1.217411,-11.01,0.007724524,-2.444,-10.55535,-0.634,-1.424,-9.895881,1.086,-2.444,-10.28242,1.086,
-3.256142,-9.548806,-0.008179203,-2.804971,-9.86725,0.007014155,-1.217411,-11.01,0.007724524,-2.444,-10.55537,-0.634,-1.424,-9.894898,1.086,-2.444,-10.28204,1.086,
-3.257505,-9.548615,-0.00625266,-2.798719,-9.856962,0.01104581,-1.217411,-11.01,0.007724524,-2.444,-10.55549,-0.634,-1.424,-9.893884,1.086,-2.444,-10.28176,1.086,
-3.258621,-9.548484,-0.00510384,-2.794061,-9.849255,0.01397932,-1.217411,-11.01,0.007724524,-2.444,-10.55564,-0.634,-1.424,-9.893195,1.086,-2.444,-10.28163,1.086,
-3.259681,-9.548377,-0.003878131,-2.78962,-9.841412,0.01700628,-1.217411,-11.01,0.007724524,-2.444,-10.55594,-0.634,-1.424,-9.892151,1.086,-2.444,-10.28153,1.086,
-3.261948,-9.548249,-0.001320138,-2.786066,-9.834259,0.02048814,-1.217411,-11.01,0.007724524,-2.444,-10.5562,-0.634,-1.424,-9.891454,1.086,-2.444,-10.28152,1.086,
