Time StampE(Clone)_x,E(Clone)_y,E(Clone)_z
20240313_230810,-0.404,-10.30744,-1.064
20240313_230810,-0.404,-10.30683,-1.064
20240313_230810,-0.404,-10.30597,-1.064
20240313_230810,-0.404,-10.30544,-1.064
20240313_230810,-0.404,-10.30469,-1.064
20240313_230810,-0.404,-10.30383,-1.064
20240313_230810,-0.404,-10.30345,-1.064
20240313_230810,-0.404,-10.30312,-1.064
20240313_230810,-0.404,-10.30271,-1.064
20240313_230810,-0.404,-10.30249,-1.064
20240313_230810,-0.404,-10.30219,-1.064
20240313_230810,-0.404,-10.30209,-1.064
20240313_230811,-0.404,-10.30209,-1.064
20240313_230811,-0.404,-10.30217,-1.064
20240313_230811,-0.404,-10.30237,-1.064
20240313_230811,-0.404,-10.30279,-1.064
20240313_230811,-0.404,-10.30323,-1.064
20240313_230811,-0.404,-10.30357,-1.064
20240313_230811,-0.404,-10.30396,-1.064
20240313_230811,-0.404,-10.30439,-1.064
20240313_230811,-0.404,-10.30535,-1.064
20240313_230811,-0.404,-10.30616,-1.064
20240313_230811,-0.404,-10.30674,-1.064
20240313_230811,-0.404,-10.30765,-1.064
20240313_230811,-0.404,-10.30829,-1.064
20240313_230811,-0.404,-10.30961,-1.064
20240313_230811,-0.404,-10.31029,-1.064
20240313_230811,-0.404,-10.31133,-1.064
20240313_230811,-0.404,-10.31203,-1.064
20240313_230811,-0.404,-10.31307,-1.064
20240313_230811,-0.404,-10.31445,-1.064
20240313_230811,-0.404,-10.31512,-1.064
20240313_230811,-0.404,-10.31578,-1.064
20240313_230811,-0.404,-10.31673,-1.064
20240313_230811,-0.404,-10.31734,-1.064
20240313_230811,-0.404,-10.31792,-1.064
20240313_230811,-0.404,-10.31899,-1.064
20240313_230811,-0.404,-10.31971,-1.064
20240313_230811,-0.404,-10.32014,-1.064
20240313_230811,-0.404,-10.32053,-1.064
20240313_230811,-0.404,-10.32105,-1.064
20240313_230811,-0.404,-10.32133,-1.064
20240313_230811,-0.404,-10.32177,-1.064
20240313_230811,-0.404,-10.32198,-1.064
20240313_230811,-0.404,-10.32206,-1.064
20240313_230812,-0.404,-10.32208,-1.064
20240313_230812,-0.404,-10.32203,-1.064
20240313_230812,-0.404,-10.3218,-1.064
20240313_230812,-0.404,-10.3215,-1.064
20240313_230812,-0.404,-10.3211,-1.064
20240313_230812,-0.404,-10.32077,-1.064
20240313_230812,-0.404,-10.32041,-1.064
20240313_230812,-0.404,-10.31955,-1.064
20240313_230812,-0.404,-10.31882,-1.064
20240313_230812,-0.404,-10.31828,-1.064
20240313_230812,-0.404,-10.31772,-1.064
20240313_230812,-0.404,-10.31683,-1.064
20240313_230812,-0.404,-10.31556,-1.064
20240313_230812,-0.404,-10.31489,-1.064
20240313_230812,-0.404,-10.31388,-1.064
20240313_230812,-0.404,-10.31319,-1.064
20240313_230812,-0.404,-10.31214,-1.064
20240313_230812,-0.404,-10.31075,-1.064
20240313_230812,-0.404,-10.31006,-1.064
20240313_230812,-0.404,-10.30905,-1.064
20240313_230812,-0.404,-10.30839,-1.064
20240313_230812,-0.404,-10.30775,-1.064
20240313_230812,-0.404,-10.30654,-1.064
20240313_230812,-0.404,-10.3057,-1.064
20240313_230812,-0.404,-10.30518,-1.064
20240313_230812,-0.404,-10.30469,-1.064
20240313_230812,-0.404,-10.30403,-1.064
20240313_230812,-0.404,-10.30363,-1.064
20240313_230812,-0.404,-10.30297,-1.064
20240313_230812,-0.404,-10.30271,-1.064
20240313_230812,-0.404,-10.30239,-1.064
20240313_230812,-0.404,-10.30225,-1.064
20240313_230812,-0.404,-10.30215,-1.064
20240313_230813,-0.404,-10.30209,-1.064
20240313_230813,-0.404,-10.30213,-1.064
20240313_230813,-0.404,-10.30223,-1.064
20240313_230813,-0.404,-10.30246,-1.064
20240313_230813,-0.404,-10.30267,-1.064
20240313_230813,-0.404,-10.30307,-1.064
20240313_230813,-0.404,-10.30376,-1.064
20240313_230813,-0.404,-10.30439,-1.064
20240313_230813,-0.404,-10.30485,-1.064
20240313_230813,-0.404,-10.30535,-1.064
20240313_230813,-0.404,-10.30588,-1.064
20240313_230813,-0.404,-10.30674,-1.064
20240313_230813,-0.404,-10.30797,-1.064
20240313_230813,-0.404,-10.30861,-1.064
