Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,V826_x,V826_y,V826_z,R836_x,R836_y,R836_z,A554_x,A554_y,A554_z,
-2.68845,-9.525481,0.4375107,-2.603179,-10.16228,0.1298709,-1.217411,-11.01,0.007724524,-1.424,-10.25268,-0.634,-2.444,-9.909936,1.086,-0.404,-9.63207,-1.064,
-2.686574,-9.52435,0.4387641,-2.593665,-10.16279,0.1318516,-1.217411,-11.01,0.007724524,-1.424,-10.25269,-0.634,-2.444,-9.911482,1.086,-0.404,-9.632668,-1.064,
-2.683841,-9.522408,0.4421754,-2.583419,-10.16384,0.1353987,-1.217411,-11.01,0.007724524,-1.424,-10.25248,-0.634,-2.444,-9.912805,1.086,-0.404,-9.632936,-1.064,
-2.681914,-9.520041,0.4450989,-2.573112,-10.1649,0.1408645,-1.217411,-11.01,0.007724524,-1.424,-10.25194,-0.634,-2.444,-9.914524,1.086,-0.404,-9.633,-1.064,
-2.68017,-9.517406,0.4472579,-2.563059,-10.16502,0.1449602,-1.217411,-11.01,0.007724524,-1.424,-10.25113,-0.634,-2.444,-9.916267,1.086,-0.404,-9.632761,-1.064,
-2.679146,-9.515448,0.4492472,-2.552171,-10.16409,0.1473731,-1.217411,-11.01,0.007724524,-1.424,-10.2503,-0.634,-2.444,-9.917644,1.086,-0.404,-9.632356,-1.064,
-2.678552,-9.51392,0.451808,-2.543609,-10.16364,0.1480422,-1.217411,-11.01,0.007724524,-1.424,-10.24905,-0.634,-2.444,-9.919296,1.086,-0.404,-9.631594,-1.064,
-2.678375,-9.512638,0.4536438,-2.536815,-10.16399,0.1486483,-1.217411,-11.01,0.007724524,-1.424,-10.24791,-0.634,-2.444,-9.920533,1.086,-0.404,-9.630795,-1.064,
-2.678293,-9.510844,0.4554421,-2.530375,-10.16463,0.1497682,-1.217411,-11.01,0.007724524,-1.424,-10.24667,-0.634,-2.444,-9.921669,1.086,-0.404,-9.629846,-1.064,
-2.677787,-9.508148,0.4592968,-2.523074,-10.16586,0.1510168,-1.217411,-11.01,0.007724524,-1.424,-10.24535,-0.634,-2.444,-9.922681,1.086,-0.404,-9.628763,-1.064,
-2.67801,-9.50681,0.4617696,-2.518194,-10.16763,0.1524283,-1.217411,-11.01,0.007724524,-1.424,-10.24364,-0.634,-2.444,-9.923742,1.086,-0.404,-9.627254,-1.064,
-2.678189,-9.505358,0.4660714,-2.513312,-10.16957,0.1529511,-1.217411,-11.01,0.007724524,-1.424,-10.24189,-0.634,-2.444,-9.924547,1.086,-0.404,-9.625618,-1.064,
-2.678349,-9.504887,0.4684069,-2.508362,-10.17201,0.1524925,-1.217411,-11.01,0.007724524,-1.424,-10.24018,-0.634,-2.444,-9.925071,1.086,-0.404,-9.623901,-1.064,
-2.67917,-9.503462,0.4720979,-2.505223,-10.17606,0.1518022,-1.217411,-11.01,0.007724524,-1.424,-10.23853,-0.634,-2.444,-9.925299,1.086,-0.404,-9.622158,-1.064,
-2.679687,-9.503186,0.4754531,-2.50345,-10.18064,0.1511214,-1.217411,-11.01,0.007724524,-1.424,-10.23674,-0.634,-2.444,-9.925171,1.086,-0.404,-9.620106,-1.064,
-2.679799,-9.503101,0.4772389,-2.500463,-10.18418,0.1501299,-1.217411,-11.01,0.007724524,-1.424,-10.23544,-0.634,-2.444,-9.924734,1.086,-0.404,-9.618488,-1.064,
-2.680043,-9.503031,0.4800782,-2.495296,-10.1847,0.1497442,-1.217411,-11.01,0.007724524,-1.424,-10.23436,-0.634,-2.444,-9.924011,1.086,-0.404,-9.617008,-1.064,
-2.679867,-9.503252,0.4797348,-2.488226,-10.18374,0.1514862,-1.217411,-11.01,0.007724524,-1.424,-10.2334,-0.634,-2.444,-9.922797,1.086,-0.404,-9.615478,-1.064,
-2.680478,-9.505363,0.4782863,-2.482228,-10.183,0.1519476,-1.217411,-11.01,0.007724524,-1.424,-10.23285,-0.634,-2.444,-9.921256,1.086,-0.404,-9.614275,-1.064,
-2.680567,-9.506216,0.4777567,-2.477137,-10.18139,0.1520394,-1.217411,-11.01,0.007724524,-1.424,-10.23272,-0.634,-2.444,-9.919769,1.086,-0.404,-9.613564,-1.064,
-2.680282,-9.507007,0.4756081,-2.471859,-10.17919,0.1525456,-1.217411,-11.01,0.007724524,-1.424,-10.23297,-0.634,-2.444,-9.917811,1.086,-0.404,-9.613091,-1.064,
-2.680147,-9.507965,0.4731207,-2.468877,-10.1786,0.1518942,-1.217411,-11.01,0.007724524,-1.424,-10.23337,-0.634,-2.444,-9.916439,1.086,-0.404,-9.613015,-1.064,
-2.680561,-9.510627,0.4704752,-2.468673,-10.17852,0.1520965,-1.217411,-11.01,0.007724524,-1.424,-10.23431,-0.634,-2.444,-9.914349,1.086,-0.404,-9.613266,-1.064,
-1.698599,-9.472006,-0.2340538,-1.487874,-10.13847,-0.5528614,-0.2354935,-10.97,-0.6974035,-1.424,-10.23538,-0.634,-2.444,-9.912635,1.086,-0.404,-9.613802,-1.064,
-1.697189,-9.472148,-0.2332655,-1.489747,-10.13905,-0.5525052,-0.2354935,-10.97,-0.6974035,-1.424,-10.2364,-0.634,-2.444,-9.91132,1.086,-0.404,-9.614433,-1.064,
-1.695756,-9.471648,-0.233099,-1.492803,-10.13986,-0.5530102,-0.2354935,-10.97,-0.6974035,-1.424,-10.23754,-0.634,-2.444,-9.910083,1.086,-0.404,-9.615232,-1.064,
-1.695066,-9.472033,-0.2335928,-1.49677,-10.14129,-0.5551824,-0.2354935,-10.97,-0.6974035,-1.424,-10.23878,-0.634,-2.444,-9.908947,1.086,-0.404,-9.616181,-1.064,
-1.694466,-9.47301,-0.2347754,-1.501142,-10.1428,-0.5569933,-0.2354935,-10.97,-0.6974035,-1.424,-10.24009,-0.634,-2.444,-9.907935,1.086,-0.404,-9.617264,-1.064,
-1.693353,-9.475065,-0.2354136,-1.50631,-10.14508,-0.5578417,-0.2354935,-10.97,-0.6974035,-1.424,-10.24181,-0.634,-2.444,-9.906874,1.086,-0.404,-9.618773,-1.064,
-1.692308,-9.475505,-0.2353595,-1.510849,-10.14673,-0.5574521,-0.2354935,-10.97,-0.6974035,-1.424,-10.2432,-0.634,-2.444,-9.906208,1.086,-0.404,-9.620074,-1.064,
-1.691704,-9.475646,-0.2351769,-1.514397,-10.14843,-0.5557695,-0.2354935,-10.97,-0.6974035,-1.424,-10.24459,-0.634,-2.444,-9.90572,1.086,-0.404,-9.621432,-1.064,
-1.690759,-9.475576,-0.2351151,-1.517831,-10.15053,-0.5528457,-0.2354935,-10.97,-0.6974035,-1.424,-10.24561,-0.634,-2.444,-9.905476,1.086,-0.404,-9.622474,-1.064,
-1.689622,-9.474722,-0.2356256,-1.520074,-10.1521,-0.5494813,-0.2354935,-10.97,-0.6974035,-1.424,-10.24691,-0.634,-2.444,-9.905317,1.086,-0.404,-9.623869,-1.064,
-1.688732,-9.474221,-0.237075,-1.521002,-10.15298,-0.546638,-0.2354935,-10.97,-0.6974035,-1.424,-10.24784,-0.634,-2.444,-9.905327,1.086,-0.404,-9.624906,-1.064,
-1.688383,-9.474217,-0.2380508,-1.521427,-10.1534,-0.5433657,-0.2354935,-10.97,-0.6974035,-1.424,-10.24898,-0.634,-2.444,-9.905509,1.086,-0.404,-9.626253,-1.064,
-1.688865,-9.474681,-0.2402917,-1.521415,-10.15304,-0.5414513,-0.2354935,-10.97,-0.6974035,-1.424,-10.24976,-0.634,-2.444,-9.905771,1.086,-0.404,-9.627225,-1.064,
-1.68911,-9.476478,-0.2432641,-1.521856,-10.15321,-0.5402463,-0.2354935,-10.97,-0.6974035,-1.424,-10.25068,-0.634,-2.444,-9.906282,1.086,-0.404,-9.628446,-1.064,
-1.689482,-9.479458,-0.2466348,-1.523212,-10.1544,-0.5382864,-0.2354935,-10.97,-0.6974035,-1.424,-10.25145,-0.634,-2.444,-9.906969,1.086,-0.404,-9.629561,-1.064,
-1.688987,-9.482252,-0.2491067,-1.525935,-10.15656,-0.5354802,-0.2354935,-10.97,-0.6974035,-1.424,-10.25191,-0.634,-2.444,-9.907592,1.086,-0.404,-9.630316,-1.064,
