Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-3.996876,-10.18534,-0.4344091,-4.194086,-10.26109,-0.4735123,-4.134988,-10.25248,-0.3120919
-3.996921,-10.18538,-0.4343791,-4.194156,-10.26103,-0.4736573,-4.134981,-10.25239,-0.3121525
-3.996904,-10.18544,-0.4343691,-4.194143,-10.26109,-0.4737235,-4.134949,-10.2524,-0.3121406
-3.996831,-10.18547,-0.4344776,-4.19415,-10.26108,-0.4737531,-4.134871,-10.25252,-0.3122016
-3.996744,-10.18544,-0.4342377,-4.194068,-10.26118,-0.4738368,-4.134869,-10.25273,-0.311916
-3.996737,-10.18547,-0.4342089,-4.193974,-10.26103,-0.4735929,-4.134775,-10.25244,-0.3120862
-3.996783,-10.18543,-0.433964,-4.194196,-10.26081,-0.47356,-4.134993,-10.25233,-0.3119861
-3.99676,-10.18543,-0.4338481,-4.19421,-10.26079,-0.4736072,-4.135026,-10.2523,-0.3120128
-3.996809,-10.1854,-0.4339018,-4.194245,-10.2607,-0.4736012,-4.135008,-10.25248,-0.3117417
-3.996806,-10.18541,-0.4338477,-4.194201,-10.26079,-0.4736582,-4.135005,-10.25229,-0.31207
-3.9968,-10.18536,-0.4339039,-4.194132,-10.26082,-0.4736849,-4.134925,-10.25238,-0.3119725
-3.996744,-10.18533,-0.4340436,-4.194028,-10.26094,-0.4736823,-4.134812,-10.25253,-0.3117658
-3.996741,-10.18532,-0.4340105,-4.194019,-10.26091,-0.4737161,-4.134792,-10.25238,-0.3120929
-3.996888,-10.18535,-0.434072,-4.19426,-10.26088,-0.4738246,-4.135083,-10.25238,-0.3120586
-3.996893,-10.18537,-0.4340327,-4.194308,-10.26082,-0.4737378,-4.135125,-10.25231,-0.3120004
-3.996849,-10.18534,-0.4340901,-4.194365,-10.26078,-0.4737836,-4.134934,-10.25254,-0.3117825
-3.996835,-10.18534,-0.4340017,-4.194227,-10.2609,-0.4736263,-4.135,-10.2525,-0.3117136
-3.996752,-10.18533,-0.4340975,-4.194217,-10.26079,-0.4736649,-4.135004,-10.25228,-0.3119866
-3.996762,-10.18534,-0.4341533,-4.194065,-10.2609,-0.4737335,-4.134861,-10.25245,-0.3120624
-3.996815,-10.18533,-0.434078,-4.194047,-10.26087,-0.4737855,-4.135071,-10.25253,-0.3117632
-3.996726,-10.18532,-0.4342215,-4.194163,-10.26067,-0.4737729,-4.135056,-10.25229,-0.3120295
-3.996747,-10.18539,-0.4343352,-4.194077,-10.26084,-0.4739586,-4.1349,-10.25249,-0.3121778
-3.996724,-10.18539,-0.4344308,-4.194037,-10.26089,-0.4740144,-4.134842,-10.25251,-0.3121921
-3.99681,-10.18544,-0.4341965,-4.194186,-10.26071,-0.4740025,-4.135035,-10.25221,-0.3120743
-3.996876,-10.18543,-0.4340677,-4.194204,-10.26065,-0.4740568,-4.135118,-10.25208,-0.312112
-3.996826,-10.18546,-0.4340966,-4.194254,-10.26056,-0.4739934,-4.135188,-10.25198,-0.3121513
-3.996862,-10.18546,-0.4341424,-4.194157,-10.26079,-0.4740328,-4.135083,-10.25216,-0.3123399
-3.996899,-10.18542,-0.4340324,-4.194198,-10.26072,-0.4740697,-4.135094,-10.25212,-0.3123096
-3.99686,-10.18544,-0.4339535,-4.194183,-10.26077,-0.4739393,-4.135079,-10.25203,-0.3124105
-3.99677,-10.18534,-0.4339728,-4.194192,-10.26077,-0.4740006,-4.134898,-10.25209,-0.3123299
