Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-4.027308,-10.19046,-0.419724,-1.217411,-11.01,0.007724524,-4.138135,-10.24418,-0.3383726
-4.027339,-10.19028,-0.4199846,-1.217411,-11.01,0.007724524,-4.138135,-10.24415,-0.3383659
-4.0274,-10.19031,-0.4198368,-1.217411,-11.01,0.007724524,-4.138195,-10.24401,-0.3381571
-4.027397,-10.19046,-0.4196022,-1.217411,-11.01,0.007724524,-4.138174,-10.24392,-0.3382517
-4.027383,-10.19043,-0.4195352,-1.217411,-11.01,0.007724524,-4.13817,-10.24389,-0.3382756
-4.027423,-10.19026,-0.4197931,-1.217411,-11.01,0.007724524,-4.138124,-10.24394,-0.3382481
-4.027439,-10.19022,-0.4197762,-1.217411,-11.01,0.007724524,-4.13815,-10.24383,-0.3382074
-4.02745,-10.19033,-0.4196186,-1.217411,-11.01,0.007724524,-4.138141,-10.24379,-0.3382081
-4.027501,-10.19015,-0.4199274,-1.217411,-11.01,0.007724524,-4.138183,-10.24386,-0.3382727
-4.027482,-10.19017,-0.4199033,-1.217411,-11.01,0.007724524,-4.138205,-10.24379,-0.3383104
-4.027524,-10.19017,-0.4199252,-1.217411,-11.01,0.007724524,-4.138216,-10.24381,-0.3384084
-4.027421,-10.19028,-0.4198313,-1.217411,-11.01,0.007724524,-4.138068,-10.24383,-0.338437
-4.027302,-10.19021,-0.4198487,-1.217411,-11.01,0.007724524,-4.138052,-10.24378,-0.3384558
-4.027347,-10.19005,-0.4201396,-1.217411,-11.01,0.007724524,-4.13804,-10.24388,-0.338555
-4.027358,-10.18997,-0.4200706,-1.217411,-11.01,0.007724524,-4.138141,-10.24371,-0.338616
-4.027264,-10.18996,-0.4201705,-1.217411,-11.01,0.007724524,-4.138061,-10.24377,-0.3386322
-4.02733,-10.18995,-0.4201345,-1.217411,-11.01,0.007724524,-4.138137,-10.2437,-0.3386501
-4.027347,-10.19009,-0.4198599,-1.217411,-11.01,0.007724524,-4.138168,-10.24408,-0.3380722
-4.027343,-10.18991,-0.4201162,-1.217411,-11.01,0.007724524,-4.138173,-10.24363,-0.3387066
-4.027358,-10.18988,-0.4201808,-1.217411,-11.01,0.007724524,-4.138148,-10.24367,-0.3386675
-4.02732,-10.19005,-0.4199851,-1.217411,-11.01,0.007724524,-4.138108,-10.2437,-0.3387791
-4.027322,-10.19012,-0.4199984,-1.217411,-11.01,0.007724524,-4.138131,-10.24371,-0.3388182
-4.027351,-10.18999,-0.420321,-1.217411,-11.01,0.007724524,-4.138119,-10.24381,-0.338869
-4.027345,-10.19001,-0.4202921,-1.217411,-11.01,0.007724524,-4.138109,-10.2437,-0.3388726
-4.027252,-10.19,-0.4202654,-1.217411,-11.01,0.007724524,-4.137974,-10.24367,-0.3387834
-4.027269,-10.19015,-0.4199941,-1.217411,-11.01,0.007724524,-4.138019,-10.24404,-0.3380877
-4.027282,-10.18999,-0.4203532,-1.217411,-11.01,0.007724524,-4.138055,-10.24379,-0.3388742
-4.027306,-10.18994,-0.4202316,-1.217411,-11.01,0.007724524,-4.138179,-10.24357,-0.3388253
-4.02738,-10.18991,-0.4202535,-1.217411,-11.01,0.007724524,-4.138203,-10.24369,-0.3388282
-4.027398,-10.1899,-0.4203033,-1.217411,-11.01,0.007724524,-4.138143,-10.24372,-0.33878
-4.027308,-10.18997,-0.4203424,-1.217411,-11.01,0.007724524,-4.138057,-10.24386,-0.3387629
-4.02728,-10.19018,-0.4200764,-1.217411,-11.01,0.007724524,-4.13801,-10.24391,-0.3388232
-4.027328,-10.19009,-0.4204273,-1.217411,-11.01,0.007724524,-4.137985,-10.24394,-0.3388525
-4.027363,-10.19024,-0.4204376,-1.217411,-11.01,0.007724524,-4.138014,-10.24408,-0.3388509
-4.027296,-10.19023,-0.4204004,-1.217411,-11.01,0.007724524,-4.137991,-10.24395,-0.338652
-4.027357,-10.19043,-0.4200382,-1.217411,-11.01,0.007724524,-4.138103,-10.24386,-0.3385142
-4.027315,-10.19025,-0.4201868,-1.217411,-11.01,0.007724524,-4.138112,-10.24384,-0.3384851
-4.027376,-10.1902,-0.4200013,-1.217411,-11.01,0.007724524,-4.138179,-10.24364,-0.3384386
-4.027427,-10.19037,-0.419708,-1.217411,-11.01,0.007724524,-4.138166,-10.24366,-0.3383676
-4.02742,-10.19018,-0.4198887,-1.217411,-11.01,0.007724524,-4.138175,-10.24363,-0.3383077
-4.027441,-10.1902,-0.4198568,-1.217411,-11.01,0.007724524,-4.138202,-10.24366,-0.3385035
-4.02741,-10.19014,-0.4198689,-1.217411,-11.01,0.007724524,-4.138179,-10.24365,-0.3384367
-4.027394,-10.1902,-0.4199948,-1.217411,-11.01,0.007724524,-4.138184,-10.2439,-0.3385164
-4.027307,-10.19042,-0.4197538,-1.217411,-11.01,0.007724524,-4.137995,-10.2439,-0.3384622
-4.027294,-10.19022,-0.4200304,-1.217411,-11.01,0.007724524,-4.137961,-10.2439,-0.3384358
-4.027382,-10.19025,-0.4200761,-1.217411,-11.01,0.007724524,-4.138152,-10.24394,-0.338499
-4.027372,-10.19024,-0.4198909,-1.217411,-11.01,0.007724524,-4.138175,-10.24375,-0.3384362
-4.027382,-10.19021,-0.4198244,-1.217411,-11.01,0.007724524,-4.138177,-10.24413,-0.3378135
-4.02738,-10.19019,-0.4198039,-1.217411,-11.01,0.007724524,-4.13815,-10.2437,-0.3384072
-4.027293,-10.1902,-0.4198382,-1.217411,-11.01,0.007724524,-4.13801,-10.2438,-0.3384463
-4.027339,-10.19023,-0.419781,-1.217411,-11.01,0.007724524,-4.138135,-10.24381,-0.3384033
-4.027316,-10.19024,-0.419832,-1.217411,-11.01,0.007724524,-4.138077,-10.24388,-0.3382922
-4.027343,-10.19027,-0.4198048,-1.217411,-11.01,0.007724524,-4.138061,-10.24393,-0.3382369
-4.027377,-10.19027,-0.4198754,-1.217411,-11.01,0.007724524,-4.138049,-10.24397,-0.3381566
-4.027336,-10.19031,-0.4199114,-1.217411,-11.01,0.007724524,-4.138095,-10.24405,-0.3381869
-4.027315,-10.19033,-0.4197688,-1.217411,-11.01,0.007724524,-4.13808,-10.24409,-0.3380779
-4.027306,-10.1903,-0.4197948,-1.217411,-11.01,0.007724524,-4.138028,-10.24411,-0.338123
