Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,E_x,E_y,E_z,R_x,R_y,R_z,
-4.040965,-10.19324,-0.4079607,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39403,0.226,-0.404,-10.33497,0.226,0.1059999,-9.521893,-0.204,
-4.041062,-10.19334,-0.4080522,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39352,0.226,-0.404,-10.33442,0.226,0.1059999,-9.522045,-0.204,
-4.040999,-10.19335,-0.4081202,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39303,0.226,-0.404,-10.33385,0.226,0.1059999,-9.522151,-0.204,
-4.040993,-10.19358,-0.4078228,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39259,0.226,-0.404,-10.33325,0.226,0.1059999,-9.522208,-0.204,
-4.040956,-10.19327,-0.4081397,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.392,0.226,-0.404,-10.3323,0.226,0.1059999,-9.522202,-0.204,
-4.04108,-10.1933,-0.4080431,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39165,0.226,-0.404,-10.33165,0.226,0.1059999,-9.522139,-0.204,
-4.041049,-10.19326,-0.4079449,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39135,0.226,-0.404,-10.33098,0.226,0.1059999,-9.522026,-0.204,
-4.041059,-10.19348,-0.4075763,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39109,0.226,-0.404,-10.33029,0.226,0.1059999,-9.521865,-0.204,
-4.041072,-10.1932,-0.4079678,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39088,0.226,-0.404,-10.3296,0.226,0.1059999,-9.521658,-0.204,
-4.041068,-10.19314,-0.4079411,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39072,0.226,-0.404,-10.32891,0.226,0.1059999,-9.521404,-0.204,
