Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,R_x,R_y,R_z,
-4.041133,-10.19159,-0.4098966,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55045,0.656,0.1059999,-10.13076,-0.204,-0.914,-9.73691,-1.064,
-4.041108,-10.19187,-0.4094398,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55082,0.656,0.1059999,-10.13012,-0.204,-0.914,-9.736246,-1.064,
-4.041125,-10.19163,-0.4098456,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55124,0.656,0.1059999,-10.1295,-0.204,-0.914,-9.735599,-1.064,
-4.041144,-10.19173,-0.409791,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55194,0.656,0.1059999,-10.12861,-0.204,-0.914,-9.734666,-1.064,
-4.04116,-10.1919,-0.4095638,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55244,0.656,0.1059999,-10.12806,-0.204,-0.914,-9.734074,-1.064,
-4.041103,-10.19182,-0.4097123,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55298,0.656,0.1059999,-10.12754,-0.204,-0.914,-9.733508,-1.064,
-4.041098,-10.19155,-0.4100955,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55355,0.656,0.1059999,-10.12705,-0.204,-0.914,-9.732973,-1.064,
-4.041181,-10.19163,-0.4101021,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55415,0.656,0.1059999,-10.12659,-0.204,-0.914,-9.732471,-1.064,
-4.041229,-10.19187,-0.4097679,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55477,0.656,0.1059999,-10.12618,-0.204,-0.914,-9.732003,-1.064,
-4.041152,-10.19182,-0.4098008,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55574,0.656,0.1059999,-10.12563,-0.204,-0.914,-9.731373,-1.064,
-4.041122,-10.19151,-0.4102693,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5564,0.656,0.1059999,-10.12532,-0.204,-0.914,-9.731002,-1.064,
-4.041106,-10.1915,-0.4101884,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55708,0.656,0.1059999,-10.12505,-0.204,-0.914,-9.730674,-1.064,
-4.041142,-10.1918,-0.4097488,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55777,0.656,0.1059999,-10.12483,-0.204,-0.914,-9.73039,-1.064,
-4.04114,-10.19152,-0.4101398,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55847,0.656,0.1059999,-10.12465,-0.204,-0.914,-9.73015,-1.064,
-4.041175,-10.1916,-0.4101636,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.55951,0.656,0.1059999,-10.12448,-0.204,-0.914,-9.729878,-1.064,
-4.041101,-10.19156,-0.410248,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56021,0.656,0.1059999,-10.12442,-0.204,-0.914,-9.729757,-1.064,
-4.041121,-10.19188,-0.4097912,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5609,0.656,0.1059999,-10.12442,-0.204,-0.914,-9.729683,-1.064,
-4.041115,-10.1916,-0.4103029,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56158,0.656,0.1059999,-10.12446,-0.204,-0.914,-9.729658,-1.064,
-4.041163,-10.19169,-0.4102309,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56225,0.656,0.1059999,-10.12455,-0.204,-0.914,-9.729682,-1.064,
-4.041183,-10.19173,-0.4102492,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56322,0.656,0.1059999,-10.12477,-0.204,-0.914,-9.729809,-1.064,
-4.041203,-10.19208,-0.4097946,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56384,0.656,0.1059999,-10.12498,-0.204,-0.914,-9.729954,-1.064,
-4.041161,-10.19174,-0.4101212,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56473,0.656,0.1059999,-10.12538,-0.204,-0.914,-9.730259,-1.064,
-4.041106,-10.19177,-0.4099531,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.5653,0.656,0.1059999,-10.1257,-0.204,-0.914,-9.730519,-1.064,
-4.041142,-10.19207,-0.4094589,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56582,0.656,0.1059999,-10.12607,-0.204,-0.914,-9.730824,-1.064,
-4.041113,-10.19184,-0.4096911,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56632,0.656,0.1059999,-10.12647,-0.204,-0.914,-9.731174,-1.064,
-4.041135,-10.19189,-0.4096546,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56678,0.656,0.1059999,-10.12692,-0.204,-0.914,-9.731564,-1.064,
-4.041087,-10.19189,-0.4097173,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56721,0.656,0.1059999,-10.1274,-0.204,-0.914,-9.731993,-1.064,
-4.041134,-10.19218,-0.4093215,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56759,0.656,0.1059999,-10.12791,-0.204,-0.914,-9.732459,-1.064,
-4.041121,-10.19184,-0.4097197,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56809,0.656,0.1059999,-10.12874,-0.204,-0.914,-9.733224,-1.064,
-4.041166,-10.19199,-0.4097795,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56836,0.656,0.1059999,-10.12933,-0.204,-0.914,-9.733773,-1.064,
-4.041189,-10.19203,-0.4096844,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56859,0.656,0.1059999,-10.12994,-0.204,-0.914,-9.734352,-1.064,
-4.04112,-10.19203,-0.4096637,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56885,0.656,0.1059999,-10.1309,-0.204,-0.914,-9.735267,-1.064,
-4.041113,-10.19236,-0.4091783,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56897,0.656,0.1059999,-10.13156,-0.204,-0.914,-9.735905,-1.064,
-4.041096,-10.1923,-0.4090893,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56905,0.656,0.1059999,-10.13258,-0.204,-0.914,-9.736894,-1.064,
-4.041183,-10.19241,-0.4091051,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56902,0.656,0.1059999,-10.13362,-0.204,-0.914,-9.737913,-1.064,
-4.041221,-10.1922,-0.4095256,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-1.424,-10.56893,0.656,0.1059999,-10.13432,-0.204,-0.914,-9.738605,-1.064,
