Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-4.467957,-10.36832,0.06239735,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34472,-1.064,-1.934,-10.15746,0.226,-1.424,-9.783768,-1.064,
-4.467054,-10.3681,0.06241129,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34368,-1.064,-1.934,-10.15649,0.226,-1.424,-9.78305,-1.064,
-4.466954,-10.36809,0.0622599,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34298,-1.064,-1.934,-10.15587,0.226,-1.424,-9.782528,-1.064,
-4.467037,-10.36812,0.06199609,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34229,-1.064,-1.934,-10.15527,0.226,-1.424,-9.781976,-1.064,
-4.466496,-10.36808,0.06226455,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3416,-1.064,-1.934,-10.1547,0.226,-1.424,-9.781394,-1.064,
-4.466582,-10.36806,0.06230842,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34092,-1.064,-1.934,-10.15415,0.226,-1.424,-9.780788,-1.064,
-4.466628,-10.368,0.06237362,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34025,-1.064,-1.934,-10.15364,0.226,-1.424,-9.780159,-1.064,
-4.466571,-10.36804,0.06242631,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3396,-1.064,-1.934,-10.15316,0.226,-1.424,-9.77951,-1.064,
-4.466572,-10.36803,0.06250034,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33897,-1.064,-1.934,-10.15272,0.226,-1.424,-9.778845,-1.064,
-4.466814,-10.36807,0.06244324,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33867,-1.064,-1.934,-10.15251,0.226,-1.424,-9.778507,-1.064,
-4.466186,-10.36797,0.06255721,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33807,-1.064,-1.934,-10.15213,0.226,-1.424,-9.777823,-1.064,
-4.466076,-10.36798,0.06247126,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33723,-1.064,-1.934,-10.15163,0.226,-1.424,-9.776784,-1.064,
-4.466113,-10.36799,0.06232725,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33671,-1.064,-1.934,-10.15136,0.226,-1.424,-9.776087,-1.064,
-4.466496,-10.36801,0.06215356,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33646,-1.064,-1.934,-10.15123,0.226,-1.424,-9.775738,-1.064,
